,124,175,250,108,147, 
,230,17,115,61,122, 
,41,118,310,8,280,  
,183,261,80,80,115, 
,137,251,72,175,41,
,43,271,186,264,235, 
,207,147,300,221,16,	
,210,20,201,123,176, 
,65,228,59,192,110, 	
,309,235,77,53,275, 	
,156,115,141,208,299,		
,122,38,269,108,269, 		
,277,70,48,139,168,		
,156,53,11,136,259, 	
,128,92,318,240,246,	
,227,5,83,137,289, 		
,243,160,53,154,22,		
,264,114,167,21,110,	
,39,193,316,254,52,	
,96,273,74,97,158,	
,182,238,139,164,260,
,193,161,130,259,144,		
,146,65,38,27,219, 	
,112,108,299,282,62,		
,208,125,75,54,121,	
,130,147,94,290,47, 		
,82,319,147,205,180,	
,3,153,76,114,297,	
,300,19,119,40,177,	
,266,137,190,30,47,		
,146,47,126,104,23,		
,120,14,185,236,208, 	
,173,23,210,50,163, 		
,148,234,97,101,290, 		
,109,135,282,287,111,		
,13,69,308,35,100, 	
,317,188,178,155,1,		
,209,277,180,17,141,	
,43,198,21,194,218,	
,185,184,151,247,95,		
,103,79,235,127,58,		
,268,135,88,212,6, 	
,70,275,65,279,208,	
,116,69,155,27,241,	
,148,140,317,12,145,		
,213,305,259,28,18, 	
,259,284,267,301,83,		
,75,20,89,144,58, 	
,215,316,53,94,66,	
,112,300,65,64,214,	
,24,253,112,234,286, 	
,249,180,121,130,245,		
,131,135,288,5,219, 		
,138,79,228,5,216,	
,175,185,205,263,104,		
,123,232,110,25,245, 	
,215,157,285,256,272,		
,102,258,233,55,121,		
,264,23,177,20,213,	
,207,114,49,213,244, 		
,312,224,162,260,95, 		
,280,248,267,113,309, 		
,50,242,292,240,119,		
,279,136,297,272,320, 		






















