,0,2,4,7,9,										B= 124,175,250,108,147, 
,10,15,26,29,31,										230,17,115,61,122, 
,32,33,34,36,8,										41,118,310,8,280,  
,37,42,44,45,46,										183,261,80,80,115, 
,51,56,57,60,61,				208						137,251,72,175,41,
,41,63,67,68,71, 									43,271,186,264,235, 
,72,73,78,80,81, 									207,147,300,221,16,	
,16,84,85,86,87,										210,20,201,123,176, 
,90,91,93,59,98, 									65,228,59,192,110, 	
,99,105,106,77,107,									309,235,77,53,275, 	
,117,118,115,124,129,								156,115,141,208,299,		
,132,122,133,134,142,								122,38,269,108,269, 		
,143,149,150,48,152, 								277,70,48,139,168,		
,159,156,165,11,166,									156,53,11,136,259, 	
,168,128,92,169,170,									128,92,318,240,246,	
,171,172,174,176,179, 								227,5,83,137,289, 		
,181,183,160,186,154,								243,160,53,154,22,		
,22,187,189,167,191,									264,114,167,21,110,	
,192,39,195,196,197,									39,193,316,254,52,	
,52,96,199,74,200, 									96,273,74,97,158,	
,158,182,201,139,164, 								182,238,139,164,260,
,202,193,161,203,204, 								193,161,130,259,144,		
,206,211,217,38,220,									146,65,38,27,219, 	
,221,222,108,223,225,								112,108,299,282,62,		
,62,226,125,227,54, 									208,125,75,54,121,	
,229,230,231,237,238,								130,147,94,290,47, 		
,239,82,243,147,246,									82,319,147,205,180,	
,250,3,153,76,251, 									3,153,76,114,297,	
,252,254,19,255,40, 									300,19,119,40,177,	
,257,261,137,190,30, 								266,137,190,30,47,		
,262,146,47,126,265, 								146,47,126,104,23,		
,266,120,14,269,236,									120,14,185,236,208, 	
,270,173,271,210,273,								173,23,210,50,163, 		
,163,274,276,97,101, 								148,234,97,101,290, 		
,278,109,281,282,283,								109,135,282,287,111,		
,111,13,287,289,35, 									13,69,308,35,100, 	
,100,290,188,178,291, 								317,188,178,155,1,		
,1,209,277,293,17, 									209,277,180,17,141,	
,141,43,198,21,194,									43,198,21,194,218,	
,218,294,184,151,247,								185,184,151,247,95,		
,295,103,296,235,127,								103,79,235,127,58,		
,298,268,299,88,212,									268,135,88,212,6, 	
,6,70,275,302,303,									70,275,65,279,208,	
,208,116,69,155,27, 									116,69,155,27,241,	
,241,148,140,304,12, 								148,140,317,12,145,		
,145,306,305,307,28,									213,305,259,28,18, 	
,18,259,284,308,301, 								259,284,267,301,83,		
,83,75,310,89,144, 									75,20,89,144,58, 	
,58,311,313,53,94,									215,316,53,94,66,	
,66,314,300,65,64, 									112,300,65,64,214,	
,214,24,253,112,234,									24,253,112,234,286, 	
,286,249,180,315,130,								249,180,121,130,245,		
,316,131,135,288,317,								131,135,288,5,219, 		
,219,138,79,228,5, 									138,79,228,5,216,	
,216,175,185,205,263, 								175,185,205,263,104,		
,104,123,232,110,25,									123,232,110,25,245, 	
,245,215,157,285,256,								215,157,285,256,272,		
,318,102,258,233,55, 								102,258,233,55,121,		
,121,264,23,177,20, 									264,23,177,20,213,	
,319,207,114,49,213, 								207,114,49,213,244, 		
,244,312,224,162,260, 								312,224,162,260,95, 		
,95,280,248,267,113, 								280,248,267,113,309, 		
,309,50,242,292,240, 								50,242,292,240,119,		
,119,279,136,297,272,								279,136,297,272,320, 		

