,0,2,4,7,9,
,10,15,26,29,31,
,32,33,34,36,8,
,37,42,44,45,46,
,51,56,57,60,61,
,41,63,67,68,71,
,72,73,78,80,81,
,16,84,85,86,87,
,90,91,93,59,98,
,99,105,106,77,107,
,117,118,115,124,129,
,132,122,133,134,142,
,143,149,150,48,152,
,159,156,165,11,166,
,168,128,92,169,170,
,171,172,174,176,179,
,181,183,160,186,154,
,22,187,189,167,191,
,192,39,195,196,197,
,52,96,199,74,200,
,158,182,201,139,164,
,202,193,161,203,204,
,206,211,217,38,220,
,221,222,108,223,225,
,62,226,125,227,54,
,229,230,231,237,238,
,239,82,243,147,246,
,250,3,153,76,251,
,252,254,19,255,40,
,257,261,137,190,30,
,262,146,47,126,265,
,266,120,14,269,236,
,270,173,271,210,273,
,163,274,276,97,101,
,278,109,281,282,283,
,111,13,287,289,35,
,100,290,188,178,291,
,1,209,277,293,17,
,141,43,198,21,194,
,218,294,184,151,247,
,295,103,296,235,127,
,298,268,299,88,212,
,6,70,275,302,303,
,208,116,69,155,27,
,241,148,140,304,12,
,145,306,305,307,28,
,18,259,284,308,301,
,83,75,310,89,144,
,58,311,313,53,94,
,66,314,300,65,64,
,214,24,253,112,234,	
,286,249,180,315,130,
,316,131,135,288,317,
,219,138,79,228,5,
,216,175,185,205,263,
,104,123,232,110,25,
,245,215,157,285,256,
,318,102,258,233,55,
,121,264,23,177,20,
,319,207,114,49,213,
,244,312,224,162,260,
,95,280,248,267,113,
,309,50,242,292,240,
,119,279,136,297,272,








































