341	96
254	109
416	110
76	88
456	185
12	14
428	39
416	110
497	266
296	165
185	276
316	480
159	50
356	472
124	405
60	365
98	355
491	304
255	483
96	240
45	466
375	252
421	436
126	193
97	392
360	344
455	356
453	302
112	339
500	298
250	264
166	403
256	187
167	191
111	102
309	340
158	2 
127	263
451	464
36	414
231	363
337	115
448	347
358	255
266	348
46	312
330	61
460	94
148	214
136	351
4	151
170	293
281	97
57	316
2	152
353	323
141	98
411	305
262	122
79	37
280	5
18	51
186	43
275	267
108	114
291	108
340	10
425	336
354	16
373	47
178	174
251	332
272	397
118	22
293	13
93	385
295	33
495	106
66	379
240	71
239	373
318	225
22	45
1	271
362	189
380	213
194	442
180	366
284	81
169	211
492	292
3	90
15	482
343	100
434	450
64	310
265	308
392	172
303	382
496	496
471	273
493	154
54	134
188	315
414	357
249	229
129	199
334	394
347	448
130	429
366	44
100	42
395	288
328	242
469	58
212	75
412	186 
10	28
314	432
484	139
41	393
418	201
452	499
283	248
99	82
481	299
383	269
217	488
77	253
350	241
222	262
317	322
132	419
160	433
199	321
311	443
113	451
368	354
58	89
305	147
72	367
198	427
322	136
248	374
367	250
106	415
146	282
137	135
397	215
230	500
86	342
445	485
476	473
201	137
176	118
179	416
419	35
432	468
82	59
393	335
277	208
94	328
382	212
302	21
304	476
357	440
165	295
430	217
325	216
209	63
278	461
335	423
140	431
218	410
52	333
369	274
386	138
437	465
292	268
443	278
156	111
396	184
149	337
28	386
273	4
115	251
326	128
438	330
253	446
133	36
409	384
208	132
405	301
236	417
466	87
179	416
327	338
135	74
8	383
161	27
69	190
19	418
440	362
489	453
37	158
88	237
175	352
14	86
105	447
48	390
13	80
448	467
298	470
242	177
162	32
104	254
321	358
378	140
464	257
286	64
370	66
400	125
444	275
56	364
336	53
308	1
173	369
31	7
150	444
203	272
121	258
439	29
189	76
260	238
479	289
131	320
32	198
470	173
234	341
407	142
424	107
80	494
417	329
457	303
81	401
238	15
441	72
39	492
423	179
433	380
151	156
313	445
174	103
477	462
329	38
114	460
17	162
221	155
306	163
258	150
335	423
297	220
38	218
458	41
182	144
51	307
288	11
67	375
53	370
177	12
62	60
116	411
144	219
473	180
153	121
87	489
364	290
119	246
24	402
33	434
110	391
245	408
120	324
147	157
406	313
413	463
183	479
365	360
463	130
235	236
6	376
246	148
168	478
290	232
315	126
241	231 
125	194
163	181
465	204
143	377
264	26
145	456
226	471
480	346
374	119
472	79
27	265
287	407
155	325
197	439
427	67
216	116
431	70
195	455
138	317
59	256
307	117
224	25
243	49
420	260
442	92
233	486
205	149
270	483
152	68
65	133
391	34
30	283
229	359
268	176 
90	120
63	105
454	297
215	146
347	448
214	311
191	143
110	335
450	388
95	175
361	399
91	222
461	469
475	285
355	243
220	281 
7	395 
289	182
276	17
117	197
11	73
74	83
459	371
204	113
202	326
388	104
279	314
467	196
84	247
73	497
377	343
20	421
426	127
207	349
171	477
227	400
92	24
263	206
261	188
394	381
331	91
423	179
344	171
61	161
225	378
359	396
339	435
389	318
319	223
219	484
385	420
16	95
285	457
348	153
109	129
429	192
107	239
78	350
490	221
187	40
338	319
415	84
435	183
372	164
223	286
410	6
384	306
49	361
323	496
300	280
468	452
154	169
55	131
346	52
324	124
342	244
123	437
259	228
83	56
34	261
50	389
294	123
312	406
301	209
40	353
157	279
42	203
486	227
181	309
164	475
352	249
282	491
23	291
401	498
403	18
267	245
9	300
21	8
101	31
488	210
244	207
5	438
25	424
134	3
210	233
172	422
474	23
213	413
333	441
449	101
206	458
228	78
299	425
498	141
499	160
269	224
363	296
398	284
196	294
102	112
310	145
487	459
447	167
184	69
485	430
376	9
71	178
446	30
43	159
192	166
26	331
404	48
422	85
252	409
85	202
482	205
75	234
345	454
496	200
89	412
381	474
349	55
478	372
271	54
387	65 
70	334
35	230
190	93
139	277
211	77
399	347
320	404
44	426
270	387
128	195 
494	481
371	20
332	327
483	270
142	368
247	168
237	495
232	487
462	57
483	270
402	99
200	170
379	345
68	287
103	46  
